code,department,contact,email
registrar,registrar,No Data,registrar@mapua.edu.ph
treasury,treasury,85272104 ,No Data
admissions,admissions,85245570,No Data
bookstore,bookstore,85273684,No Data
cdmo,Campus Development and Maintenance Office,84000658,No Data
pe,PE,No Data,mpdivina@mapua.edu.ph 
math,Mathematics Department,No Data,mlaalacapuno@mapua.edu.ph
physics,Physics Department,No Data,djsaquillo@mapua.edu.ph
doit,Development Office for Information Technology,82475000,No Data
etybsm,E.T. Yuchengco School of Business and Management,88911452,ealbalboa@mapua.edu.ph
aridbe,ARIDBE,53366086 ,gbteodoro@mapua.edu.ph 
cege,"School of Civil, Environmental, and Geological Engineering",85278456 ,bsvillaverde@mapua.edu.ph 
cbmes,"School of Chemical, Biological, and Materials Engineering and Sciences",85277021 ,arcaparanga@mapua.edu.ph 
eece,"Department of Electrical, Electronics, and Computer Engineering",53366088 ,ahballado@mapua.edu.ph
gs,Department of Graduate Studies,85273681 ,racpascual@mapua.edu.ph 
ie-emg,School of Industrial Engineering and Engineering Management,53365112,racrobielos@mapua.edu.ph
soit,School of Information and Technology,88910800 ,akdbalan@mapua.edu.ph
mme,Department of Mechanical and Manufacturing Engineering,85275166,mcemanuel@mapua.edu.ph
sms,School of Multimedia Studies,No Data,bbagapito@mapua.edu.ph
ssse,School of Social Sciences and Education,No Data,jvmacayan@mapua.edu.ph 
dal,Department of Arts and Letters,No Data,mestorres@mapua.edu.ph 
